date,user_id,inquiry_type
2026-01-05,U3335,서비스 이용 문의
2026-01-25,U3346,결제/영수증 문의
2026-01-15,U3351,서비스 이용 문의
2026-01-24,U3353,서비스 이용 문의
2026-01-23,U3354,자동 연장 거부 문의
2026-01-01,U3361,서비스 이용 문의
2026-01-23,U3368,결제/영수증 문의
2026-01-22,U3397,서비스 이용 문의
2026-01-23,U3404,자동 연장 거부 문의
2026-01-25,U3406,결제/영수증 문의
2026-01-09,U3407,서비스 이용 문의
2026-01-17,U3408,서비스 이용 문의
2026-01-19,U3418,환불 문의
2026-01-25,U3427,자동 연장 거부 문의
2026-01-28,U3438,서비스 이용 문의
2026-01-22,U3445,환불 문의
2026-01-18,U3453,서비스 이용 문의
2026-01-19,U3463,자동 연장 거부 문의
2026-01-23,U3475,결제/영수증 문의
2026-01-25,U3479,결제/영수증 문의
2026-01-23,U3481,결제/영수증 문의
2026-01-11,U3482,서비스 이용 문의
2026-01-30,U3489,결제/영수증 문의
2026-01-23,U3493,환불 문의
2026-01-26,U3522,자동 연장 거부 문의
2026-01-31,U3532,결제/영수증 문의
2026-01-21,U3535,환불 문의
2026-01-26,U3544,자동 연장 거부 문의
2026-01-22,U3546,결제/영수증 문의
2026-01-22,U3581,자동 연장 거부 문의
2026-01-25,U3603,자동 연장 거부 문의
2026-01-19,U3625,환불 문의
2026-01-28,U3642,자동 연장 거부 문의
2026-01-17,U3657,자동 연장 거부 문의
2026-01-29,U3667,결제/영수증 문의
2026-01-15,U3702,자동 연장 거부 문의
2026-01-24,U3716,자동 연장 거부 문의
2026-01-27,U3719,자동 연장 거부 문의
2026-01-17,U3723,결제/영수증 문의
2026-01-18,U3733,결제/영수증 문의
2026-01-19,U3777,자동 연장 거부 문의
2026-01-06,U3787,서비스 이용 문의
2026-01-07,U3790,서비스 이용 문의
2026-01-31,U3805,자동 연장 거부 문의
2026-01-20,U3815,결제/영수증 문의
2026-01-17,U3855,서비스 이용 문의
2026-01-22,U3856,서비스 이용 문의
2026-01-19,U3862,결제/영수증 문의
2026-01-22,U3871,환불 문의
2026-01-22,U3893,결제/영수증 문의
2026-01-24,U3911,서비스 이용 문의
2026-01-21,U3962,자동 연장 거부 문의
2026-01-19,U3980,서비스 이용 문의
2026-01-29,U4006,환불 문의
2026-01-17,U4022,환불 문의
2026-01-25,U4050,자동 연장 거부 문의
2026-01-27,U4065,결제/영수증 문의
2026-01-21,U4099,환불 문의
2026-01-20,U4111,결제/영수증 문의
2026-01-14,U4117,서비스 이용 문의
2026-01-26,U4120,결제/영수증 문의
2026-01-31,U4124,자동 연장 거부 문의
2026-01-24,U4152,결제/영수증 문의
2026-01-18,U4187,서비스 이용 문의
2026-01-18,U4193,서비스 이용 문의
2026-01-20,U4219,자동 연장 거부 문의
2026-01-20,U4235,결제/영수증 문의
2026-01-26,U4241,결제/영수증 문의
2026-01-09,U4244,서비스 이용 문의
2026-01-10,U4261,서비스 이용 문의
2026-01-21,U4267,자동 연장 거부 문의
2026-01-25,U4275,자동 연장 거부 문의
2026-01-30,U4309,환불 문의
2026-01-20,U4354,환불 문의
2026-01-28,U4377,서비스 이용 문의
2026-01-15,U4394,서비스 이용 문의
2026-01-25,U4404,결제/영수증 문의
2026-01-28,U4425,서비스 이용 문의
2026-01-19,U4444,자동 연장 거부 문의
2026-01-25,U4450,환불 문의
2026-01-16,U4497,서비스 이용 문의
2026-01-09,U4504,서비스 이용 문의
2026-01-26,U4526,서비스 이용 문의
2026-01-16,U4547,자동 연장 거부 문의
2026-01-26,U4548,자동 연장 거부 문의
2026-01-06,U4553,서비스 이용 문의
2026-01-30,U4576,결제/영수증 문의
2026-01-27,U4590,환불 문의
2026-01-18,U4597,자동 연장 거부 문의
2026-01-20,U4616,자동 연장 거부 문의
2026-01-19,U4629,결제/영수증 문의
2026-01-21,U4640,자동 연장 거부 문의
2026-01-17,U4643,환불 문의
2026-01-29,U4645,자동 연장 거부 문의
2026-01-19,U4653,환불 문의
2026-01-18,U4665,환불 문의
2026-01-19,U4681,자동 연장 거부 문의
2026-01-16,U4687,환불 문의
2026-01-21,U4692,결제/영수증 문의
2026-01-19,U4702,결제/영수증 문의
2026-01-26,U4709,환불 문의
2026-01-28,U4718,환불 문의
2026-01-28,U4738,결제/영수증 문의
2026-01-23,U4750,결제/영수증 문의
2026-01-20,U4768,서비스 이용 문의
2026-01-18,U4784,자동 연장 거부 문의
2026-01-22,U4796,자동 연장 거부 문의
2026-01-22,U4813,결제/영수증 문의
2026-01-22,U4818,결제/영수증 문의
2026-01-28,U4829,자동 연장 거부 문의
2026-01-20,U4834,환불 문의
2026-01-25,U4853,결제/영수증 문의
2026-01-28,U4890,서비스 이용 문의
2026-01-02,U4954,서비스 이용 문의
2026-01-28,U4957,자동 연장 거부 문의
2026-01-30,U4959,결제/영수증 문의
2026-01-31,U4987,환불 문의
2026-01-21,U4993,서비스 이용 문의
2026-01-20,U4998,자동 연장 거부 문의
