payment_date,user_id,subscription_type,amount,payment_status
2026-01-16,U3101,yearly,294,성공
2026-01-18,U3102,monthly,35,성공
2026-01-20,U3103,monthly,35,성공
2026-01-21,U3113,yearly,294,성공
2026-01-15,U3116,yearly,294,성공
2026-01-16,U3117,monthly,35,성공
2026-01-22,U3119,monthly,35,성공
2026-01-17,U3120,yearly,294,성공
2026-01-15,U3121,yearly,294,성공
2026-01-15,U3122,yearly,294,성공
2026-01-28,U3123,yearly,294,성공
2026-01-24,U3129,monthly,35,성공
2026-01-26,U3132,yearly,294,성공
2026-01-17,U3134,monthly,35,성공
2026-01-17,U3137,yearly,294,성공
2026-01-27,U3138,yearly,294,성공
2026-01-17,U3140,yearly,294,성공
2026-01-20,U3142,yearly,294,성공
2026-01-15,U3144,monthly,35,성공
2026-01-25,U3145,monthly,35,성공
2026-01-20,U3146,monthly,35,성공
2026-01-26,U3147,yearly,294,성공
2026-01-28,U3149,yearly,294,성공
2026-01-15,U3153,yearly,294,성공
2026-01-25,U3156,yearly,294,성공
2026-01-22,U3161,yearly,294,성공
2026-01-18,U3164,monthly,35,성공
2026-01-19,U3165,yearly,294,성공
2026-01-25,U3167,monthly,35,성공
2026-01-22,U3169,yearly,294,실패
2026-01-17,U3170,monthly,35,성공
2026-01-26,U3175,monthly,35,성공
2026-01-19,U3180,yearly,294,성공
2026-01-27,U3183,monthly,35,성공
2026-01-27,U3186,yearly,294,성공
2026-01-28,U3187,yearly,294,성공
2026-01-16,U3190,monthly,35,성공
2026-01-25,U3193,yearly,294,성공
2026-01-26,U3195,monthly,35,성공
2026-01-27,U3198,monthly,35,성공
2026-01-16,U3201,monthly,35,성공
2026-01-23,U3203,yearly,294,성공
2026-01-18,U3205,yearly,294,성공
2026-01-23,U3207,yearly,294,성공
2026-01-16,U3208,monthly,35,실패
2026-01-20,U3208,yearly,294,성공
2026-01-17,U3211,yearly,294,실패
2026-01-26,U3213,monthly,35,성공
2026-01-24,U3214,yearly,294,성공
2026-01-17,U3215,yearly,294,성공
2026-01-21,U3219,yearly,294,성공
2026-01-15,U3224,yearly,294,성공
2026-01-21,U3227,monthly,35,성공
2026-01-21,U3228,monthly,35,성공
2026-01-15,U3229,yearly,294,성공
2026-01-15,U3230,monthly,35,성공
2026-01-28,U3234,yearly,294,성공
2026-01-15,U3237,monthly,35,성공
2026-01-24,U3239,monthly,35,성공
2026-01-25,U3243,monthly,35,성공
2026-01-19,U3246,yearly,294,성공
2026-01-21,U3247,yearly,294,성공
2026-01-20,U3251,yearly,294,성공
2026-01-16,U3253,yearly,294,성공
2026-01-27,U3254,yearly,294,성공
2026-01-19,U3256,yearly,294,성공
2026-01-20,U3257,monthly,35,성공
2026-01-22,U3261,monthly,35,성공
2026-01-16,U3268,yearly,294,성공
2026-01-28,U3272,yearly,294,성공
2026-01-19,U3273,yearly,294,성공
2026-01-17,U3274,yearly,294,성공
2026-01-25,U3280,yearly,294,성공
2026-01-23,U3287,monthly,35,성공
2026-01-15,U3291,yearly,294,성공
2026-01-17,U3292,yearly,294,성공
2026-01-18,U3293,monthly,35,성공
2026-01-19,U3295,yearly,294,성공
2026-01-19,U3297,yearly,294,성공
2026-01-25,U3298,monthly,35,성공
2026-01-28,U3299,monthly,35,성공
2026-01-18,U3300,yearly,294,성공
2026-01-26,U3303,yearly,294,성공
2026-01-16,U3304,yearly,294,성공
2026-01-19,U3305,yearly,294,성공
2026-01-26,U3306,yearly,294,성공
2026-01-25,U3310,monthly,35,성공
2026-01-15,U3312,monthly,35,성공
2026-01-23,U3314,yearly,294,성공
2026-01-25,U3316,yearly,294,성공
2026-01-20,U3317,monthly,35,성공
2026-01-24,U3319,yearly,294,성공
2026-01-16,U3320,yearly,294,성공
2026-01-25,U3321,yearly,294,성공
2026-01-18,U3323,monthly,35,성공
2026-01-19,U3328,yearly,294,성공
2026-01-16,U3332,monthly,35,성공
2026-01-26,U3333,monthly,35,성공
2026-01-19,U3335,monthly,35,성공
2026-01-18,U3338,yearly,294,성공
2026-01-23,U3339,yearly,294,성공
2026-01-15,U3340,monthly,35,성공
2026-01-27,U3341,monthly,35,성공
2026-01-16,U3342,yearly,294,성공
2026-01-28,U3343,yearly,294,성공
2026-01-22,U3346,yearly,294,성공
2026-01-24,U3347,yearly,294,성공
2026-01-19,U3350,yearly,294,성공
2026-01-15,U3351,yearly,294,성공
2026-01-25,U3353,monthly,35,성공
2026-01-20,U3354,yearly,294,성공
2026-01-28,U3361,yearly,294,성공
2026-01-21,U3367,monthly,35,성공
2026-01-20,U3368,monthly,35,성공
2026-01-25,U3379,yearly,294,성공
2026-01-22,U3386,monthly,35,성공
2026-01-15,U3387,monthly,35,성공
2026-01-17,U3392,yearly,294,성공
2026-01-26,U3393,yearly,294,성공
2026-01-24,U3394,yearly,294,성공
2026-01-25,U3397,monthly,35,성공
2026-01-21,U3398,monthly,35,성공
2026-01-19,U3404,yearly,294,성공
2026-01-25,U3405,yearly,294,성공
2026-01-25,U3406,monthly,35,성공
2026-01-23,U3407,yearly,294,성공
2026-01-21,U3408,yearly,294,성공
2026-01-25,U3409,yearly,294,성공
2026-01-15,U3410,yearly,294,성공
2026-01-18,U3414,monthly,35,성공
2026-01-24,U3417,yearly,294,성공
2026-01-17,U3418,monthly,35,성공
2026-01-22,U3420,yearly,294,성공
2026-01-28,U3423,yearly,294,성공
2026-01-28,U3426,monthly,35,성공
2026-01-22,U3427,monthly,35,성공
2026-01-26,U3428,monthly,35,성공
2026-01-20,U3429,yearly,294,성공
2026-01-22,U3430,monthly,35,성공
2026-01-17,U3432,monthly,35,성공
2026-01-23,U3436,monthly,35,성공
2026-01-23,U3437,yearly,294,성공
2026-01-22,U3438,yearly,294,성공
2026-01-18,U3440,yearly,294,성공
2026-01-21,U3445,yearly,294,성공
2026-01-15,U3453,monthly,35,성공
2026-01-26,U3455,yearly,294,성공
2026-01-28,U3456,yearly,294,성공
2026-01-16,U3458,monthly,35,성공
2026-01-27,U3459,yearly,294,성공
2026-01-16,U3460,monthly,35,성공
2026-01-19,U3463,yearly,294,성공
2026-01-15,U3468,yearly,294,성공
2026-01-27,U3469,yearly,294,성공
2026-01-21,U3472,monthly,35,성공
2026-01-21,U3473,yearly,294,실패
2026-01-21,U3473,yearly,294,실패
2026-01-25,U3473,yearly,294,성공
2026-01-20,U3475,yearly,294,성공
2026-01-16,U3477,monthly,35,성공
2026-01-17,U3478,yearly,294,성공
2026-01-23,U3479,yearly,294,성공
2026-01-17,U3480,yearly,294,성공
2026-01-19,U3481,yearly,294,성공
2026-01-27,U3482,monthly,35,성공
2026-01-22,U3488,yearly,294,성공
2026-01-25,U3489,monthly,35,성공
2026-01-16,U3491,yearly,294,성공
2026-01-21,U3493,monthly,35,성공
2026-01-28,U3497,monthly,35,성공
2026-01-18,U3499,monthly,35,성공
2026-01-17,U3504,yearly,294,성공
2026-01-23,U3505,monthly,35,성공
2026-01-19,U3506,yearly,294,실패
2026-01-22,U3506,monthly,35,성공
2026-01-16,U3509,yearly,294,성공
2026-01-17,U3512,yearly,294,성공
2026-01-23,U3513,yearly,294,성공
2026-01-22,U3522,monthly,35,성공
2026-01-16,U3523,yearly,294,성공
2026-01-22,U3526,yearly,294,성공
2026-01-18,U3528,monthly,35,성공
2026-01-16,U3529,monthly,35,성공
2026-01-24,U3531,monthly,35,성공
2026-01-26,U3532,yearly,294,성공
2026-01-17,U3534,monthly,35,성공
2026-01-18,U3535,yearly,294,성공
2026-01-25,U3536,yearly,294,성공
2026-01-22,U3542,monthly,35,성공
2026-01-23,U3544,yearly,294,성공
2026-01-23,U3545,monthly,35,성공
2026-01-18,U3546,yearly,294,성공
2026-01-23,U3548,yearly,294,성공
2026-01-20,U3552,yearly,294,성공
2026-01-15,U3554,yearly,294,성공
2026-01-27,U3555,yearly,294,성공
2026-01-17,U3558,yearly,294,성공
2026-01-23,U3560,monthly,35,성공
2026-01-25,U3561,monthly,35,성공
2026-01-23,U3569,monthly,35,성공
2026-01-27,U3570,yearly,294,성공
2026-01-16,U3574,monthly,35,성공
2026-01-17,U3577,yearly,294,성공
2026-01-25,U3578,monthly,35,성공
2026-01-17,U3579,yearly,294,성공
2026-01-17,U3581,yearly,294,성공
2026-01-19,U3584,monthly,35,성공
2026-01-28,U3585,monthly,35,성공
2026-01-26,U3593,yearly,294,성공
2026-01-17,U3594,yearly,294,성공
2026-01-25,U3596,monthly,35,성공
2026-01-19,U3597,yearly,294,성공
2026-01-25,U3598,yearly,294,성공
2026-01-21,U3599,monthly,35,성공
2026-01-15,U3602,yearly,294,성공
2026-01-24,U3603,monthly,35,성공
2026-01-24,U3605,yearly,294,성공
2026-01-25,U3608,monthly,35,성공
2026-01-27,U3609,yearly,294,성공
2026-01-25,U3612,yearly,294,성공
2026-01-23,U3618,monthly,35,성공
2026-01-24,U3620,monthly,35,성공
2026-01-23,U3622,yearly,294,성공
2026-01-25,U3623,monthly,35,성공
2026-01-18,U3625,yearly,294,성공
2026-01-16,U3629,yearly,294,성공
2026-01-21,U3633,yearly,294,성공
2026-01-27,U3637,yearly,294,성공
2026-01-26,U3638,yearly,294,성공
2026-01-24,U3640,yearly,294,성공
2026-01-25,U3642,monthly,35,성공
2026-01-17,U3646,yearly,294,성공
2026-01-20,U3647,yearly,294,성공
2026-01-18,U3649,yearly,294,성공
2026-01-17,U3653,yearly,294,성공
2026-01-22,U3656,monthly,35,성공
2026-01-17,U3657,yearly,294,성공
2026-01-22,U3658,yearly,294,성공
2026-01-16,U3659,yearly,294,성공
2026-01-22,U3661,monthly,35,성공
2026-01-28,U3667,monthly,35,성공
2026-01-17,U3669,yearly,294,성공
2026-01-21,U3670,yearly,294,성공
2026-01-17,U3671,monthly,35,성공
2026-01-28,U3673,yearly,294,성공
2026-01-27,U3678,yearly,294,성공
2026-01-23,U3680,yearly,294,성공
2026-01-23,U3683,yearly,294,성공
2026-01-19,U3686,yearly,294,성공
2026-01-15,U3687,yearly,294,성공
2026-01-19,U3689,monthly,35,성공
2026-01-23,U3691,yearly,294,성공
2026-01-17,U3695,monthly,35,성공
2026-01-23,U3697,monthly,35,성공
2026-01-15,U3702,monthly,35,성공
2026-01-28,U3704,yearly,294,성공
2026-01-18,U3706,yearly,294,성공
2026-01-18,U3708,yearly,294,성공
2026-01-28,U3709,yearly,294,성공
2026-01-19,U3716,yearly,294,성공
2026-01-22,U3719,monthly,35,성공
2026-01-16,U3723,yearly,294,성공
2026-01-25,U3728,monthly,35,성공
2026-01-24,U3731,monthly,35,성공
2026-01-17,U3733,monthly,35,성공
2026-01-22,U3734,monthly,35,성공
2026-01-15,U3738,yearly,294,성공
2026-01-19,U3739,monthly,35,성공
2026-01-18,U3749,monthly,35,성공
2026-01-21,U3752,monthly,35,성공
2026-01-16,U3754,monthly,35,성공
2026-01-24,U3760,yearly,294,성공
2026-01-21,U3761,yearly,294,성공
2026-01-17,U3765,monthly,35,성공
2026-01-16,U3770,monthly,35,성공
2026-01-16,U3773,yearly,294,성공
2026-01-18,U3777,yearly,294,성공
2026-01-17,U3780,yearly,294,성공
2026-01-15,U3781,yearly,294,성공
2026-01-28,U3784,yearly,294,성공
2026-01-22,U3787,yearly,294,성공
2026-01-16,U3788,yearly,294,성공
2026-01-19,U3790,yearly,294,성공
2026-01-17,U3791,monthly,35,성공
2026-01-28,U3792,yearly,294,성공
2026-01-18,U3793,monthly,35,성공
2026-01-27,U3794,yearly,294,실패
2026-01-15,U3798,yearly,294,성공
2026-01-17,U3799,yearly,294,성공
2026-01-15,U3800,monthly,35,성공
2026-01-23,U3802,yearly,294,성공
2026-01-26,U3805,yearly,294,성공
2026-01-16,U3808,yearly,294,성공
2026-01-19,U3815,monthly,35,성공
2026-01-27,U3816,yearly,294,성공
2026-01-19,U3817,monthly,35,성공
2026-01-24,U3820,yearly,294,성공
2026-01-19,U3821,yearly,294,성공
2026-01-21,U3827,monthly,35,성공
2026-01-28,U3841,yearly,294,성공
2026-01-27,U3843,yearly,294,성공
2026-01-26,U3845,yearly,294,성공
2026-01-19,U3846,monthly,35,성공
2026-01-17,U3847,monthly,35,성공
2026-01-28,U3848,yearly,294,성공
2026-01-27,U3849,yearly,294,성공
2026-01-27,U3851,monthly,35,성공
2026-01-22,U3855,yearly,294,성공
2026-01-18,U3856,yearly,294,성공
2026-01-23,U3857,yearly,294,성공
2026-01-20,U3860,yearly,294,성공
2026-01-18,U3861,monthly,35,성공
2026-01-16,U3862,monthly,35,성공
2026-01-16,U3865,monthly,35,성공
2026-01-18,U3866,monthly,35,성공
2026-01-24,U3870,monthly,35,성공
2026-01-21,U3871,yearly,294,성공
2026-01-17,U3873,yearly,294,성공
2026-01-20,U3875,yearly,294,성공
2026-01-27,U3877,yearly,294,성공
2026-01-21,U3880,yearly,294,성공
2026-01-15,U3886,monthly,35,성공
2026-01-16,U3887,yearly,294,성공
2026-01-22,U3891,yearly,294,성공
2026-01-20,U3893,yearly,294,성공
2026-01-19,U3898,yearly,294,성공
2026-01-17,U3899,monthly,35,성공
2026-01-20,U3900,monthly,35,성공
2026-01-17,U3901,yearly,294,성공
2026-01-16,U3907,yearly,294,성공
2026-01-17,U3911,yearly,294,성공
2026-01-19,U3914,monthly,35,성공
2026-01-21,U3916,yearly,294,성공
2026-01-15,U3925,yearly,294,성공
2026-01-22,U3927,yearly,294,실패
2026-01-21,U3929,yearly,294,성공
2026-01-17,U3931,monthly,35,성공
2026-01-28,U3933,monthly,35,성공
2026-01-25,U3936,yearly,294,성공
2026-01-18,U3940,monthly,35,성공
2026-01-19,U3942,yearly,294,성공
2026-01-16,U3944,yearly,294,성공
2026-01-18,U3945,yearly,294,성공
2026-01-16,U3946,monthly,35,성공
2026-01-25,U3953,yearly,294,성공
2026-01-17,U3955,yearly,294,성공
2026-01-17,U3958,yearly,294,성공
2026-01-28,U3960,yearly,294,성공
2026-01-19,U3962,yearly,294,성공
2026-01-24,U3972,yearly,294,성공
2026-01-25,U3973,yearly,294,성공
2026-01-28,U3975,yearly,294,성공
2026-01-20,U3977,yearly,294,성공
2026-01-19,U3980,yearly,294,성공
2026-01-26,U3983,monthly,35,성공
2026-01-15,U3991,yearly,294,실패
2026-01-24,U3992,yearly,294,성공
2026-01-22,U3993,yearly,294,성공
2026-01-28,U3994,yearly,294,성공
2026-01-27,U3999,yearly,294,성공
2026-01-26,U4003,monthly,35,성공
2026-01-27,U4006,yearly,294,성공
2026-01-18,U4010,monthly,35,성공
2026-01-16,U4013,monthly,35,성공
2026-01-27,U4015,yearly,294,성공
2026-01-26,U4018,monthly,35,성공
2026-01-22,U4019,yearly,294,성공
2026-01-17,U4022,yearly,294,성공
2026-01-15,U4026,monthly,35,성공
2026-01-15,U4040,yearly,294,성공
2026-01-16,U4043,monthly,35,성공
2026-01-15,U4045,yearly,294,성공
2026-01-24,U4047,yearly,294,성공
2026-01-24,U4048,yearly,294,성공
2026-01-20,U4050,monthly,35,성공
2026-01-28,U4052,monthly,35,성공
2026-01-26,U4054,yearly,294,성공
2026-01-17,U4058,monthly,35,성공
2026-01-15,U4059,monthly,35,성공
2026-01-28,U4060,yearly,294,성공
2026-01-21,U4061,yearly,294,성공
2026-01-26,U4065,yearly,294,성공
2026-01-26,U4067,yearly,294,성공
2026-01-28,U4070,yearly,294,성공
2026-01-22,U4073,monthly,35,성공
2026-01-19,U4075,monthly,35,성공
2026-01-15,U4089,yearly,294,성공
2026-01-15,U4092,yearly,294,성공
2026-01-15,U4093,yearly,294,성공
2026-01-18,U4096,monthly,35,성공
2026-01-28,U4097,yearly,294,성공
2026-01-20,U4099,yearly,294,성공
2026-01-28,U4100,yearly,294,성공
2026-01-18,U4102,yearly,294,성공
2026-01-18,U4104,yearly,294,실패
2026-01-18,U4104,yearly,294,실패
2026-01-18,U4109,yearly,294,성공
2026-01-28,U4110,monthly,35,성공
2026-01-20,U4111,yearly,294,성공
2026-01-15,U4113,monthly,35,성공
2026-01-24,U4117,monthly,35,성공
2026-01-21,U4118,yearly,294,성공
2026-01-20,U4119,monthly,35,성공
2026-01-24,U4120,yearly,294,성공
2026-01-20,U4122,yearly,294,성공
2026-01-27,U4124,monthly,35,성공
2026-01-19,U4129,yearly,294,성공
2026-01-16,U4132,yearly,294,성공
2026-01-19,U4133,monthly,35,성공
2026-01-17,U4134,yearly,294,성공
2026-01-22,U4136,yearly,294,성공
2026-01-15,U4137,monthly,35,성공
2026-01-16,U4138,yearly,294,성공
2026-01-16,U4148,yearly,294,성공
2026-01-19,U4150,yearly,294,성공
2026-01-23,U4152,yearly,294,성공
2026-01-25,U4157,yearly,294,성공
2026-01-23,U4158,yearly,294,성공
2026-01-27,U4161,yearly,294,성공
2026-01-17,U4164,yearly,294,성공
2026-01-15,U4165,yearly,294,성공
2026-01-18,U4168,monthly,35,성공
2026-01-26,U4169,yearly,294,성공
2026-01-21,U4174,yearly,294,성공
2026-01-16,U4177,monthly,35,성공
2026-01-27,U4185,monthly,35,성공
2026-01-21,U4187,yearly,294,성공
2026-01-23,U4190,yearly,294,성공
2026-01-27,U4192,yearly,294,성공
2026-01-23,U4193,monthly,35,성공
2026-01-22,U4196,yearly,294,성공
2026-01-28,U4198,yearly,294,성공
2026-01-21,U4203,yearly,294,성공
2026-01-21,U4205,yearly,294,성공
2026-01-22,U4209,monthly,35,성공
2026-01-27,U4211,yearly,294,성공
2026-01-23,U4212,yearly,294,성공
2026-01-28,U4216,yearly,294,성공
2026-01-17,U4219,monthly,35,성공
2026-01-23,U4222,monthly,35,성공
2026-01-19,U4224,monthly,35,성공
2026-01-17,U4225,monthly,35,성공
2026-01-26,U4231,yearly,294,성공
2026-01-25,U4234,yearly,294,성공
2026-01-19,U4235,yearly,294,성공
2026-01-17,U4238,yearly,294,성공
2026-01-22,U4241,monthly,35,성공
2026-01-19,U4242,yearly,294,성공
2026-01-15,U4244,yearly,294,성공
2026-01-28,U4247,yearly,294,성공
2026-01-24,U4249,yearly,294,성공
2026-01-19,U4251,yearly,294,성공
2026-01-28,U4252,yearly,294,성공
2026-01-19,U4259,yearly,294,성공
2026-01-26,U4261,yearly,294,성공
2026-01-16,U4262,yearly,294,성공
2026-01-24,U4265,yearly,294,성공
2026-01-20,U4267,monthly,35,성공
2026-01-23,U4268,yearly,294,성공
2026-01-28,U4269,yearly,294,성공
2026-01-24,U4271,monthly,35,성공
2026-01-25,U4272,monthly,35,성공
2026-01-24,U4274,monthly,35,성공
2026-01-20,U4275,yearly,294,성공
2026-01-22,U4281,yearly,294,성공
2026-01-24,U4285,yearly,294,성공
2026-01-27,U4289,yearly,294,성공
2026-01-17,U4290,yearly,294,성공
2026-01-20,U4293,monthly,35,성공
2026-01-17,U4298,yearly,294,성공
2026-01-23,U4305,yearly,294,성공
2026-01-27,U4309,monthly,35,성공
2026-01-18,U4312,monthly,35,실패
2026-01-25,U4313,monthly,35,성공
2026-01-19,U4315,yearly,294,성공
2026-01-23,U4316,monthly,35,성공
2026-01-25,U4323,yearly,294,성공
2026-01-19,U4324,yearly,294,성공
2026-01-20,U4328,yearly,294,성공
2026-01-17,U4329,yearly,294,성공
2026-01-25,U4331,monthly,35,성공
2026-01-19,U4332,monthly,35,성공
2026-01-15,U4334,yearly,294,성공
2026-01-20,U4336,monthly,35,성공
2026-01-22,U4342,yearly,294,성공
2026-01-20,U4345,yearly,294,성공
